Team,Win, Total points ,Win percent, Wins , Losses ,,Grizzlies,,,,,,,Hawks,,,,,
 Grizzlies ,1,112,0.596491228,34,23,,Win,, Total points ,,Win percent,,,Win,, Total points ,,Win percent,
 Grizzlies ,1,102,0.725,29,11,,,,,,,,,,,,,,
 Grizzlies ,1,108,0.565217391,26,20,,平均,0.8,平均,105.2,平均,0.624069147,,平均,1,平均,110,平均,0.610577444
 Grizzlies ,1,103,0.704225352,50,21,,标准误差,0.2,标准误差,2.083266666,标准误差,0.038598021,,标准误差,0,标准误差,2.097617696,标准误差,0.041377755
 Grizzlies ,0,101,0.529411765,9,8,,中位数,1,中位数,103,中位数,0.596491228,,中位数,1,中位数,108,中位数,0.6
 Hawks ,1,95,0.793103448,46,12,,众数,1,众数,#N/A,众数,#N/A,,众数,1,众数,106,众数,#N/A
 Hawks ,1,114,0.756410256,59,19,,标准差,0.447213595,标准差,4.65832588,标准差,0.0863078,,标准差,0,标准差,4.69041576,标准差,0.092523472
 Hawks ,1,106,0.5,1,1,,方差,0.2,方差,21.7,方差,0.007449036,,方差,0,方差,22,方差,0.008560593
 Hawks ,1,108,0.585365854,24,17,,峰度,5,峰度,-0.994499777,峰度,-2.640454234,,峰度,#DIV/0!,峰度,-2.628099174,峰度,2.272047259
 Hawks ,1,106,0.6,18,12,,偏度,-2.236067977,偏度,0.902205016,偏度,0.304766874,,偏度,#DIV/0!,偏度,0.581456499,偏度,0.911224261
 Hawks ,1,116,0.611111111,11,7,,区域,1,区域,11,区域,0.195588235,,区域,0,区域,10,区域,0.256410256
 Knicks ,0,107,0.428571429,18,24,,最小值,0,最小值,101,最小值,0.529411765,,最小值,1,最小值,106,最小值,0.5
 Knicks ,0,104,0.487804878,20,21,,最大值,1,最大值,112,最大值,0.725,,最大值,1,最大值,116,最大值,0.756410256
 Knicks ,0,83,0.188679245,10,43,,求和,4,求和,526,求和,3.120345736,,求和,5,求和,550,求和,3.052887221
 Knicks ,0,112,0.416666667,5,7,,观测数,5,观测数,5,观测数,5,,观测数,5,观测数,5,观测数,5
 Knicks ,0,82,0.197183099,14,57,,,,,,,,,,,,,,
 Knicks ,0,85,0.403225806,25,37,,,,,,,,,,,,,,
 Magic ,0,88,0.316666667,19,41,,Knicks,,,,,,,Magic,,,,,
 Magic ,0,102,0.465116279,20,23,,Win,, Total points ,,Win percent,,,Win,, Total points ,,Win percent,
 Magic ,1,89,0.303571429,17,39,,,,,,,,,,,,,,
 Magic ,1,100,0.59375,19,13,,平均,0,平均,95.5,平均,0.353688521,,平均,0.333333333,平均,92.33333333,平均,0.447605197
 Magic ,0,84,0.430769231,28,37,,标准误差,0,标准误差,5.554277631,标准误差,0.052197332,,标准误差,0.210818511,标准误差,2.905932629,标准误差,0.050418928
 Magic ,0,91,0.575757576,19,14,,中位数,0,中位数,94.5,中位数,0.409946237,,中位数,0,中位数,90,中位数,0.447942755
 Nets ,1,117,0.46835443,37,42,,众数,0,众数,#N/A,众数,#N/A,,众数,0,众数,#N/A,众数,#N/A
 Nets ,0,103,0.163636364,9,46,,标准差,0,标准差,13.60514609,标准差,0.12785683,,标准差,0.516397779,标准差,7.118052168,标准差,0.123500646
 Nets ,0,87,0.5,4,4,,方差,0,方差,185.1,方差,0.016347369,,方差,0.266666667,方差,50.66666667,方差,0.01525241
 Nets ,0,111,0.454545455,35,42,,峰度,#DIV/0!,峰度,-2.845936359,峰度,-1.749717868,,峰度,-1.875,峰度,-1.48125,峰度,-1.885756581
 Nets ,1,110,0.282051282,11,28,,偏度,#DIV/0!,偏度,0.125798524,偏度,-0.735271169,,偏度,0.968245837,偏度,0.544390503,偏度,-0.001012885
 Nets ,0,93,0.28125,9,23,,区域,0,区域,30,区域,0.299125633,,区域,1,区域,18,区域,0.290178571
 Trail Blazers ,1,108,0.431818182,19,25,,最小值,0,最小值,82,最小值,0.188679245,,最小值,0,最小值,84,最小值,0.303571429
 Trail Blazers ,0,98,0.731707317,30,11,,最大值,0,最大值,112,最大值,0.487804878,,最大值,1,最大值,102,最大值,0.59375
 Trail Blazers ,1,97,0.666666667,6,3,,求和,0,求和,573,求和,2.122131124,,求和,2,求和,554,求和,2.685631182
 Trail Blazers ,0,97,0.366666667,11,19,,观测数,6,观测数,6,观测数,6,,观测数,6,观测数,6,观测数,6
 Trail Blazers ,1,121,0.52238806,35,32,,,,,,,,,,,,,,
 Trail Blazers ,1,104,0.540983607,33,28,,,,,,,,,,,,,,
 Wizards ,0,80,0.569620253,45,34,,Nets,,,,,,,Trail Blaze,,,,,
 Wizards ,0,98,0.475,19,21,,Win,, Total points ,,Win percent,,,Win,, Total points ,,Win percent,
 Wizards ,0,90,0.5,1,1,,,,,,,,,,,,,,
 Wizards ,1,119,0.272727273,3,8,,平均,0.333333333,平均,103.5,平均,0.358306255,,平均,0.666666667,平均,104.1666667,平均,0.54337175
 Wizards ,1,103,0.483870968,15,16,,标准误差,0.210818511,标准误差,4.702836024,标准误差,0.055105522,,标准误差,0.210818511,标准误差,3.824627796,标准误差,0.056209971
,,,,,,,中位数,0,中位数,106.5,中位数,0.368298369,,中位数,1,中位数,101,中位数,0.531685834
,,,,,,,众数,0,众数,#N/A,众数,#N/A,,众数,1,众数,97,众数,#N/A
,,,,,,,标准差,0.516397779,标准差,11.5195486,标准差,0.13498041,,标准差,0.516397779,标准差,9.368386556,标准差,0.137685748
,,,,,,,方差,0.266666667,方差,132.7,方差,0.018219711,,方差,0.266666667,方差,87.76666667,方差,0.018957365
,,,,,,,峰度,-1.875,峰度,-1.303317737,峰度,-1.735809806,,峰度,-1.875,峰度,1.677059219,峰度,-1.14822436
,,,,,,,偏度,0.968245837,偏度,-0.489257114,偏度,-0.391489721,,偏度,-0.968245837,偏度,1.406739925,偏度,0.188447406
,,,,,,,区域,1,区域,30,区域,0.336363636,,区域,1,区域,24,区域,0.36504065
,,,,,,,最小值,0,最小值,87,最小值,0.163636364,,最小值,0,最小值,97,最小值,0.366666667
,,,,,,,最大值,1,最大值,117,最大值,0.5,,最大值,1,最大值,121,最大值,0.731707317
,,,,,,,求和,2,求和,621,求和,2.149837531,,求和,4,求和,625,求和,3.2602305
,,,,,,,观测数,6,观测数,6,观测数,6,,观测数,6,观测数,6,观测数,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Wizards,,,,,,,,,,,,
,,,,,,,Win,, Total points ,,Win percent,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,平均,0.4,平均,98,平均,0.460243699,,,,,,,
,,,,,,,标准误差,0.244948974,标准误差,6.534523701,标准误差,0.049740426,,,,,,,
,,,,,,,中位数,0,中位数,98,中位数,0.483870968,,,,,,,
,,,,,,,众数,0,众数,#N/A,众数,#N/A,,,,,,,
,,,,,,,标准差,0.547722558,标准差,14.6116392,标准差,0.111222975,,,,,,,
,,,,,,,方差,0.3,方差,213.5,方差,0.01237055,,,,,,,
,,,,,,,峰度,-3.333333333,峰度,0.341459669,峰度,3.29163069,,,,,,,
,,,,,,,偏度,0.608580619,偏度,0.406304048,偏度,-1.576493052,,,,,,,
,,,,,,,区域,1,区域,39,区域,0.29689298,,,,,,,
,,,,,,,最小值,0,最小值,80,最小值,0.272727273,,,,,,,
,,,,,,,最大值,1,最大值,119,最大值,0.569620253,,,,,,,
,,,,,,,求和,2,求和,490,求和,2.301218494,,,,,,,
,,,,,,,观测数,5,观测数,5,观测数,5,,,,,,,
